"time","amplitude"
0.00, 0.000603815
0.01, 0.00060023
0.02, 0.00059664
0.03, 0.000593053
0.04, 0.000589475
0.05, 0.000585911
0.06, 0.000582396
0.07, 0.000578924
0.08, 0.000575447
0.09, 0.000571913
0.10, 0.000568272
0.11, 0.000564481
0.12, 0.000560571
0.13, 0.000556598
0.14, 0.000552622
0.15, 0.000548701
0.16, 0.000544844
0.17, 0.000541012
0.18, 0.000537191
0.19, 0.000533367
0.20, 0.000529528
0.21, 0.000525667
0.22, 0.000521794
0.23, 0.000517917
0.24, 0.000514044
0.25, 0.000510184
0.26, 0.000506344
0.27, 0.000502519
0.28, 0.000498698
0.29, 0.00049487
0.30, 0.000491023
0.31, 0.000487165
0.32, 0.000483302
0.33, 0.000479425
0.34, 0.000475524
0.35, 0.000471589
0.36, 0.000467598
0.37, 0.000463558
0.38, 0.0004595
0.39, 0.000455454
0.40, 0.00045145
0.41, 0.000447497
0.42, 0.000443576
0.43, 0.000439671
0.44, 0.000435768
0.45, 0.000431854
0.46, 0.000427928
0.47, 0.000423999
0.48, 0.000420068
0.49, 0.000416135
0.50, 0.000412201
0.51, 0.000408248
0.52, 0.000404276
0.53, 0.000400311
0.54, 0.000396377
0.55, 0.000392502
0.56, 0.000388724
0.57, 0.000385028
0.58, 0.000381348
0.59, 0.000377623
0.60, 0.000373787
0.61, 0.000369786
0.62, 0.000365657
0.63, 0.000361482
0.64, 0.000357341
0.65, 0.000353312
0.66, 0.000349342
0.67, 0.000345374
0.68, 0.000341488
0.69, 0.000337765
0.70, 0.000334285
0.71, 0.000331093
0.72, 0.000328116
0.73, 0.000325252
0.74, 0.000322401
0.75, 0.000319459
0.76, 0.000316078
0.77, 0.000312325
0.78, 0.000308725
0.79, 0.000305803
0.80, 0.000304083
0.81, 0.000303504
0.82, 0.000303431
0.83, 0.000303519
0.84, 0.000303426
0.85, 0.000302806
0.86, 0.000300969
0.87, 0.000297727
0.88, 0.000293491
0.89, 0.000288673
0.90, 0.000283684
0.91, 0.000276892
0.92, 0.000267849
0.93, 0.000258717
0.94, 0.000251658
0.95, 0.000248834
0.96, 0.000251031
0.97, 0.000256256
0.98, 0.000262486
0.99, 0.000267702
1.00, 0.000269882
1.01, 0.000262464
1.02, 0.000244835
1.03, 0.000223812
1.04, 0.000206214
1.05, 0.00019886
1.06, 0.000205268
1.07, 0.000220496
1.08, 0.000238655
1.09, 0.000253855
1.10, 0.000260206
1.11, 0.000252846
1.12, 0.000235359
1.13, 0.000214507
1.14, 0.000197053
1.15, 0.000189762
1.16, 0.000191772
1.17, 0.000197057
1.18, 0.00020453
1.19, 0.000213107
1.20, 0.000221701
1.21, 0.000233042
1.22, 0.000248134
1.23, 0.00026337
1.24, 0.000275145
1.25, 0.000279851
1.26, 0.000257628
1.27, 0.000204851
1.28, 0.000141928
1.29, 8.92687e-05
1.30, 6.728e-05
1.31, 9.61543e-05
1.32, 0.000164716
1.33, 0.000246455
1.34, 0.000314859
1.35, 0.000343418
1.36, 0.000293498
1.37, 0.000174985
1.38, 3.37017e-05
1.39, -8.45278e-05
1.40, -0.00013388
1.41, -8.53101e-05
1.42, 3.34813e-05
1.43, 0.000183158
1.44, 0.000324382
1.45, 0.000417817
1.46, 0.000463369
1.47, 0.000494154
1.48, 0.000521251
1.49, 0.000555738
1.50, 0.000608695
1.51, 0.00072028
1.52, 0.000911736
1.53, 0.00116644
1.54, 0.00146777
1.55, 0.00179911
1.56, 0.00233055
1.57, 0.00310266
1.58, 0.00390907
1.59, 0.00454342
1.60, 0.00479932
1.61, 0.00466003
1.62, 0.00432962
1.63, 0.0039358
1.64, 0.00360632
1.65, 0.00346891
1.66, 0.00351615
1.67, 0.00363573
1.68, 0.00379558
1.69, 0.00396363
1.70, 0.00410782
1.71, 0.00423996
1.72, 0.00438125
1.73, 0.00451463
1.74, 0.00462304
1.75, 0.00468944
1.76, 0.00472008
1.77, 0.00473834
1.78, 0.00475334
1.79, 0.00477419
1.80, 0.00481
1.81, 0.00513197
1.82, 0.00582902
1.83, 0.00664424
1.84, 0.00732069
1.85, 0.00760146
1.86, 0.0075652
1.87, 0.00747928
1.88, 0.00737688
1.89, 0.00729123
1.90, 0.00725555
1.91, 0.00760664
1.92, 0.00847101
1.93, 0.00957544
1.94, 0.0106467
1.95, 0.0114117
1.96, 0.0119452
1.97, 0.0124605
1.98, 0.0128997
1.99, 0.0132051
2.00, 0.0133189
2.01, 0.012781
2.02, 0.0115031
2.03, 0.00997232
2.04, 0.00867578
2.05, 0.00810056
2.06, 0.00804819
2.07, 0.00800678
2.08, 0.00797673
2.09, 0.00795844
2.10, 0.0079523
2.11, 0.00807004
2.12, 0.00837621
2.13, 0.00880379
2.14, 0.00928582
2.15, 0.00975531
2.16, 0.0102159
2.17, 0.0107213
2.18, 0.0112813
2.19, 0.0119056
2.20, 0.0126041
2.21, 0.0135316
2.22, 0.0147079
2.23, 0.0159453
2.24, 0.0170561
2.25, 0.0178526
2.26, 0.0184313
2.27, 0.0189734
2.28, 0.0194258
2.29, 0.0197356
2.30, 0.0198498
2.31, 0.0198309
2.32, 0.0197861
2.33, 0.0197328
2.34, 0.0196882
2.35, 0.0196697
2.36, 0.0197126
2.37, 0.0198143
2.38, 0.0199353
2.39, 0.0200365
2.40, 0.0200786
2.41, 0.0199722
2.42, 0.019708
2.43, 0.0193651
2.44, 0.0190222
2.45, 0.0187584
2.46, 0.0185481
2.47, 0.0183343
2.48, 0.0181461
2.49, 0.0180123
2.50, 0.0179617
2.51, 0.01806
2.52, 0.0183141
2.53, 0.0186665
2.54, 0.0190595
2.55, 0.0194355
2.56, 0.019795
2.57, 0.020181
2.58, 0.0206011
2.59, 0.0210632
2.60, 0.0215748
2.61, 0.0222998
2.62, 0.0232457
2.63, 0.0241925
2.64, 0.0249203
2.65, 0.0252091
2.66, 0.0246454
2.67, 0.0231232
2.68, 0.0208738
2.69, 0.0181289
2.70, 0.01512
2.71, 0.0111034
2.72, 0.00548084
2.73, -0.00133418
2.74, -0.00892825
2.75, -0.016888
2.76, -0.0258738
2.77, -0.0363633
2.78, -0.04771
2.79, -0.0592674
2.80, -0.0703892
2.81, -0.0828136
2.82, -0.0969317
2.83, -0.110177
2.84, -0.119984
2.85, -0.123786
2.86, -0.123383
2.87, -0.122253
2.88, -0.120505
2.89, -0.118245
2.90, -0.115579
2.91, -0.109809
2.92, -0.0996313
2.93, -0.0871196
2.94, -0.0743487
2.95, -0.0633929
2.96, -0.0539126
2.97, -0.044509
2.98, -0.0355843
2.99, -0.0275408
3.00, -0.0207807
3.01, -0.0147369
3.02, -0.00892314
3.03, -0.00382285
3.04, 8.035e-05
3.05, 0.00230291
3.06, 0.00346377
3.07, 0.00444576
3.08, 0.00520312
3.09, 0.00569008
3.10, 0.00586085
3.11, 0.00534051
3.12, 0.00397174
3.13, 0.00201942
3.14, -0.000251587
3.15, -0.00257645
3.16, -0.00553946
3.17, -0.00942502
3.18, -0.013557
3.19, -0.0172594
3.20, -0.0198561
3.21, -0.0216756
3.22, -0.0233652
3.23, -0.0247666
3.24, -0.0257213
3.25, -0.026071
3.26, -0.0256814
3.27, -0.0247027
3.28, -0.023401
3.29, -0.0220423
3.30, -0.0208928
3.31, -0.0198114
3.32, -0.0186243
3.33, -0.017531
3.34, -0.0167309
3.35, -0.0164233
3.36, -0.0164579
3.37, -0.0165394
3.38, -0.0166363
3.39, -0.0167173
3.40, -0.0167509
3.41, -0.0165613
3.42, -0.0160625
3.43, -0.0153498
3.44, -0.0145188
3.45, -0.0136647
3.46, -0.0124535
3.47, -0.0107823
3.48, -0.00907124
3.49, -0.00774039
3.50, -0.00720986
3.51, -0.00747643
3.52, -0.00815379
3.53, -0.00907233
3.54, -0.0100624
3.55, -0.0109545
3.56, -0.0117924
3.57, -0.0126876
3.58, -0.0135808
3.59, -0.0144129
3.60, -0.0151247
3.61, -0.015796
3.62, -0.0164793
3.63, -0.0170817
3.64, -0.0175102
3.65, -0.0176717
3.66, -0.017459
3.67, -0.0169076
3.68, -0.0161364
3.69, -0.0152641
3.70, -0.0144095
3.71, -0.0134281
3.72, -0.0122259
3.73, -0.0109835
3.74, -0.00988185
3.75, -0.00910166
3.76, -0.00860213
3.77, -0.00820117
3.78, -0.00785841
3.79, -0.0075335
3.80, -0.00718609
3.81, -0.00676006
3.82, -0.00628334
3.83, -0.00583975
3.84, -0.00551312
3.85, -0.00538728
3.86, -0.00562455
3.87, -0.00618322
3.88, -0.00684778
3.89, -0.00740266
3.90, -0.00763232
3.91, -0.00733803
3.92, -0.00659241
3.93, -0.0055843
3.94, -0.00450256
3.95, -0.00353598
3.96, -0.00253169
3.97, -0.00136954
3.98, -0.000269263
3.99, 0.000549417
4.00, 0.000866748
4.01, 0.000302092
4.02, -0.00110729
4.03, -0.00296841
4.04, -0.00488825
4.05, -0.00647382
4.06, -0.00787373
4.07, -0.00934887
4.08, -0.0107023
4.09, -0.0117369
4.10, -0.0122558
4.11, -0.0124424
4.12, -0.0125954
4.13, -0.0127103
4.14, -0.0127824
4.15, -0.0128071
4.16, -0.0126156
4.17, -0.0121284
4.18, -0.011465
4.19, -0.0107448
4.20, -0.0100874
4.21, -0.00937564
4.22, -0.00853299
4.23, -0.00772617
4.24, -0.0071219
4.25, -0.00688687
4.26, -0.00709766
4.27, -0.00764138
4.28, -0.00839829
4.29, -0.00924859
4.30, -0.0100725
4.31, -0.0109401
4.32, -0.0119428
4.33, -0.0130037
4.34, -0.0140457
4.35, -0.0149919
4.36, -0.0159044
4.37, -0.0168363
4.38, -0.0177048
4.39, -0.0184272
4.40, -0.0189206
4.41, -0.0192663
4.42, -0.0195779
4.43, -0.0198307
4.44, -0.02
4.45, -0.020061
4.46, -0.0197728
4.47, -0.0190345
4.48, -0.0180173
4.49, -0.0168922
4.50, -0.0158302
4.51, -0.014804
4.52, -0.0136924
4.53, -0.0125157
4.54, -0.0112941
4.55, -0.0100478
4.56, -0.00872459
4.57, -0.00730943
4.58, -0.00587333
4.59, -0.00448732
4.60, -0.00322234
4.61, -0.00192087
4.62, -0.000532879
4.63, 0.000724737
4.64, 0.00163506
4.65, 0.00198124
4.66, 0.00197999
4.67, 0.00197633
4.68, 0.00197029
4.69, 0.0019619
4.70, 0.00195117
4.71, 0.0017584
4.72, 0.00128628
4.73, 0.000646021
4.74, -5.1167e-05
4.75, -0.000694097
4.76, -0.00132282
4.77, -0.00201118
4.78, -0.00270745
4.79, -0.0033599
4.80, -0.00391681
4.81, -0.00441165
4.82, -0.00488877
4.83, -0.00531799
4.84, -0.00566915
